time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0.666667,0.000000,0.085376,0.858745,1.000000,0.000000,0.237392,1.000000,0.093155,0.000000,0.070326,1.000000,1.000000,0.000000,0.000000,0.182043,1.000000,0.864679,0.646132,0.637234,0.442260,0.386635,0.363852,0.000000,0.506994,0.648498,0.494948,0.000000,1.000000,0.682877,1.000000,1.000000,1.000000,0.103196,0.000000,0.492660,0.712352,1.000000,1.000000,1.000000,1.000000,0.441835,0.736491,0.000000,0.000000,0.253009,0.076772,1.000000,0.775476,0.464665,0.000000,0.000000,1.000000,0.331791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.165046,0.956134,0.095099,0.023726,0.000000,0.000000,0.959077,1.000000,0.000000,0.707155,1.000000,0.000000,0.285941,0.290059,1.000000,1.000000,1.000000,1.000000
0.700000,0.000000,0.128881,0.878659,1.000000,0.000000,0.233995,1.000000,0.092602,0.000000,0.060227,1.000000,1.000000,0.000000,0.000000,0.173296,1.000000,0.863556,0.645088,0.622543,0.466041,0.386590,0.363943,0.000000,0.525440,0.651534,0.511870,0.000000,1.000000,0.696372,1.000000,1.000000,1.000000,0.130573,0.000000,0.464343,0.752897,1.000000,1.000000,1.000000,1.000000,0.425698,0.706047,0.000000,0.000000,0.242070,0.066086,1.000000,0.773299,0.428375,0.000000,0.000000,1.000000,0.379705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.163830,0.951894,0.088402,0.016301,0.000000,0.000000,0.936745,1.000000,0.000000,0.713510,1.000000,0.000000,0.282910,0.283704,1.000000,1.000000,1.000000,1.000000
0.733333,0.000000,0.134814,0.880806,1.000000,0.000000,0.233845,1.000000,0.087137,0.000000,0.074651,1.000000,1.000000,0.000000,0.000000,0.163238,1.000000,0.862626,0.645387,0.616604,0.467334,0.387272,0.363927,0.000000,0.523076,0.652166,0.510687,0.000000,1.000000,0.693168,1.000000,1.000000,1.000000,0.128415,0.000000,0.454847,0.784869,1.000000,1.000000,1.000000,1.000000,0.418413,0.694529,0.000000,0.000000,0.238072,0.067059,1.000000,0.771003,0.418633,0.000000,0.000000,1.000000,0.367578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.168446,0.955894,0.085341,0.010078,0.000000,0.000000,0.930932,1.000000,0.000000,0.737421,1.000000,0.000000,0.266465,0.308786,1.000000,1.000000,1.000000,1.000000
0.766667,0.000000,0.120900,0.875011,1.000000,0.000000,0.231858,1.000000,0.082725,0.000000,0.109630,1.000000,1.000000,0.000000,0.000000,0.173760,1.000000,0.862142,0.645939,0.616895,0.425844,0.387918,0.363721,0.000000,0.536912,0.645756,0.501392,0.000000,1.000000,0.674913,1.000000,1.000000,1.000000,0.154231,0.000000,0.445583,0.832712,1.000000,1.000000,1.000000,1.000000,0.415953,0.694027,0.000000,0.000000,0.228069,0.064376,1.000000,0.761944,0.413855,0.000000,0.000000,1.000000,0.320857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181166,0.950406,0.092374,0.003041,0.000000,0.000000,0.932289,1.000000,0.000000,0.752396,1.000000,0.000000,0.254328,0.347267,1.000000,1.000000,1.000000,1.000000
0.800000,0.000000,0.135332,0.880011,1.000000,0.000000,0.232052,1.000000,0.090067,0.000000,0.075058,1.000000,1.000000,0.000000,0.000000,0.166639,1.000000,0.861834,0.646368,0.610810,0.442077,0.388358,0.366820,0.000000,0.539796,0.648230,0.511583,0.000000,1.000000,0.691803,1.000000,1.000000,1.000000,0.155485,0.000000,0.443195,0.798233,1.000000,1.000000,1.000000,1.000000,0.419774,0.700407,0.000000,0.000000,0.232597,0.059418,1.000000,0.767854,0.413344,0.000000,0.000000,1.000000,0.369168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.169955,0.950354,0.087296,0.008383,0.000000,0.000000,0.927665,1.000000,0.000000,0.738079,1.000000,0.000000,0.262008,0.298906,1.000000,1.000000,1.000000,1.000000
0.833333,0.000000,0.165436,0.895020,1.000000,0.000000,0.232508,1.000000,0.096282,0.000000,0.032655,1.000000,1.000000,0.000000,0.000000,0.164259,1.000000,0.861660,0.646267,0.607381,0.490654,0.388487,0.367851,0.000000,0.543461,0.653108,0.526357,0.000000,1.000000,0.713749,1.000000,1.000000,1.000000,0.151437,0.000000,0.439909,0.762707,1.000000,1.000000,1.000000,1.000000,0.418930,0.692380,0.000000,0.000000,0.235968,0.053989,1.000000,0.773612,0.403747,0.000000,0.000000,1.000000,0.439472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157743,0.946830,0.079122,0.013881,0.000000,0.000000,0.919644,1.000000,0.000000,0.704745,1.000000,0.000000,0.281924,0.250365,1.000000,1.000000,1.000000,1.000000
0.866667,0.000000,0.166243,0.896562,1.000000,0.000000,0.234930,1.000000,0.099627,0.000000,0.005303,1.000000,1.000000,0.000000,0.000000,0.162734,1.000000,0.861463,0.646105,0.611395,0.519755,0.388595,0.368287,0.000000,0.530615,0.656586,0.528707,0.000000,1.000000,0.725148,1.000000,1.000000,1.000000,0.125438,0.000000,0.453827,0.713682,1.000000,1.000000,1.000000,1.000000,0.426206,0.700910,0.000000,0.000000,0.246219,0.057831,1.000000,0.780084,0.417085,0.000000,0.000000,1.000000,0.465978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148683,0.949753,0.074939,0.021793,0.000000,0.000000,0.925186,1.000000,0.000000,0.679571,1.000000,0.000000,0.295370,0.220356,1.000000,1.000000,1.000000,1.000000
0.900000,0.000000,0.135395,0.882140,1.000000,0.000000,0.234472,1.000000,0.095475,0.000000,0.041140,1.000000,1.000000,0.000000,0.000000,0.174834,1.000000,0.861480,0.646721,0.619210,0.477430,0.389017,0.367071,0.000000,0.529263,0.651242,0.514804,0.000000,1.000000,0.704381,1.000000,1.000000,1.000000,0.130178,0.000000,0.462586,0.733332,1.000000,1.000000,1.000000,1.000000,0.430841,0.713202,0.000000,0.000000,0.243739,0.062412,1.000000,0.774354,0.429136,0.000000,0.000000,1.000000,0.402882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159795,0.950051,0.084797,0.019356,0.000000,0.000000,0.936968,1.000000,0.000000,0.691845,1.000000,0.000000,0.287649,0.259411,1.000000,1.000000,1.000000,1.000000
0.933333,0.000000,0.111462,0.869819,1.000000,0.000000,0.231186,1.000000,0.090472,0.000000,0.093737,1.000000,1.000000,0.000000,0.000000,0.186992,1.000000,0.861523,0.647149,0.619733,0.407667,0.389191,0.366271,0.000000,0.545381,0.642821,0.502342,0.000000,1.000000,0.678035,1.000000,1.000000,1.000000,0.166880,0.000000,0.453773,0.798057,1.000000,1.000000,1.000000,1.000000,0.428000,0.715876,0.000000,0.000000,0.231094,0.060108,1.000000,0.763542,0.425067,0.000000,0.000000,1.000000,0.332992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176709,0.945488,0.097242,0.010160,0.000000,0.000000,0.939583,1.000000,0.000000,0.724354,1.000000,0.000000,0.269581,0.312755,1.000000,1.000000,1.000000,1.000000
0.966667,0.000000,0.120575,0.873031,1.000000,0.000000,0.228696,1.000000,0.089425,0.000000,0.108628,1.000000,1.000000,0.000000,0.000000,0.184260,1.000000,0.861397,0.646964,0.611917,0.388513,0.389001,0.366535,0.000000,0.560279,0.640700,0.505004,0.000000,1.000000,0.674416,1.000000,1.000000,1.000000,0.194216,0.000000,0.435946,0.841431,1.000000,1.000000,1.000000,1.000000,0.419731,0.704507,0.000000,0.000000,0.221726,0.054038,1.000000,0.758996,0.408724,0.000000,0.000000,1.000000,0.328199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181771,0.941946,0.098343,0.003233,0.000000,0.000000,0.929519,1.000000,0.000000,0.745170,1.000000,0.000000,0.258175,0.327327,1.000000,1.000000,1.000000,1.000000
